order_id,customer_id,product_sku,category,quantity,amount,discount,status,channel,created_at,promo_code,source_system
ORD-1001,C-88,SKU-91,electronics,1,1299.99,0,paid,web,2024-01-02,,,legacy
ORD-1002,C-12,SKU-14,home,2,45.5,5,paid,web,2024-01-03,,,legacy
ORD-1003,C-44,SKU-77,fashion,1,,0,pending,store,2024-01-03,SAVE10,legacy
ORD-1004,C-88,SKU-91,electronics,1,1299.99,0,paid,web,2024-01-02,,,legacy
ORD-1005,C-19,SKU-3,grocery,8,32.4,0,paid,app,2024-01-04,,,legacy
ORD-1006,C-21,SKU-55,electronics,1,899.0,50,refunded,web,2024-01-05,,,legacy
ORD-1007,C-7,SKU-2,fashion,3,120.0,,paid,web,2024-01-05,,legacy
ORD-1008,C-33,SKU-18,home,1,15.0,0,paid,store,2024-01-06,,,legacy
ORD-1009,C-41,SKU-90,electronics,1,2499.0,0,paid,web,2024-01-07,,,legacy
ORD-1010,C-12,SKU-14,home,1,22.0,0,canceled,app,2024-01-07,,,legacy
ORD-1011,C-50,SKU-4,grocery,12,18.6,0,paid,web,2024-01-08,,,legacy
ORD-1012,C-61,SKU-66,fashion,2,,10,pending,web,2024-01-08,SAVE10,legacy
ORD-1013,C-9,SKU-1,grocery,1,3.5,0,paid,store,2024-01-09,,,legacy
ORD-1014,C-77,SKU-88,electronics,1,1599.5,0,paid,web,2024-01-10,,,legacy
ORD-1015,C-3,SKU-20,home,4,80.0,0,paid,app,2024-01-10,,,legacy
ORD-1016,C-88,SKU-91,electronics,1,1299.99,0,paid,web,2024-01-02,,,legacy
ORD-1017,C-14,SKU-5,grocery,2,9.9,0,paid,web,2024-01-11,,,legacy
ORD-1018,C-22,SKU-70,fashion,1,60.0,0,paid,store,2024-01-12,,,legacy
ORD-1019,C-29,SKU-99,electronics,1,3200.0,100,paid,web,2024-01-13,,,legacy
ORD-1020,C-35,SKU-11,home,,40.0,0,paid,app,2024-01-13,,,legacy
ORD-1021,C-40,SKU-6,grocery,6,14.2,0,paid,web,2024-01-14,,,legacy
ORD-1022,C-55,SKU-41,fashion,2,95.0,0,paid,web,2024-01-15,,,legacy
ORD-1023,C-60,SKU-8,grocery,1,2.1,0,paid,store,2024-01-15,,,legacy
ORD-1024,C-71,SKU-82,electronics,1,780.0,0,pending,web,2024-01-16,SAVE10,legacy
ORD-1025,C-16,SKU-25,home,3,0,0,paid,app,2024-01-17,,,legacy
ORD-1026,C-18,SKU-25,home,1,0,0,paid,web,2024-01-17,,,legacy
ORD-1027,C-27,SKU-25,home,2,0,0,paid,store,2024-01-18,,,legacy
ORD-1028,C-39,SKU-12,grocery,5,11.5,0,paid,web,2024-01-18,,,legacy
ORD-1029,C-48,SKU-73,fashion,1,55.0,0,paid,app,2024-01-19,,,legacy
ORD-1030,C-52,SKU-95,electronics,1,4100.0,0,paid,web,2024-01-20,,,legacy
